"compound","keggid","number","Pathway_Description"
"Hexadecanoyl-[acp]","C05764","hsa00061","Fatty acid biosynthesis"
"Octanoic acid","C06423","hsa00061","Fatty acid biosynthesis"
"Tetradecanoic acid","C06424","hsa00061","Fatty acid biosynthesis"
"(9Z)-Hexadecenoic acid","C08362","hsa00061","Fatty acid biosynthesis"
"3-Oxostearoyl-[acp]","C16219","hsa00061","Fatty acid biosynthesis"
"(R)-3-Hydroxyoctadecanoyl-[acp]","C16220","hsa00061","Fatty acid biosynthesis"
"(2E)-Octadecenoyl-[acp]","C16221","hsa00061","Fatty acid biosynthesis"
"Hexadecenoyl-[acyl-carrier protein]","C16520","hsa00061","Fatty acid biosynthesis"
"Long-chain acyl-[acyl-carrier protein]","C20683","hsa00061","Fatty acid biosynthesis"
"n-7 Unsaturated acyl-[acyl-carrier protein]","C20794","hsa00061","Fatty acid biosynthesis"
"Acetyl-CoA","C00024","hsa00062","Fatty acid elongation"
"Acyl-CoA","C00040","hsa00062","Fatty acid elongation"
"Malonyl-CoA","C00083","hsa00062","Fatty acid elongation"
"Butanoyl-CoA","C00136","hsa00062","Fatty acid elongation"
"Palmitoyl-CoA","C00154","hsa00062","Fatty acid elongation"
"Fatty acid","C00162","hsa00062","Fatty acid elongation"
"Hexadecanoic acid","C00249","hsa00062","Fatty acid elongation"
"3-Oxoacyl-CoA","C00264","hsa00062","Fatty acid elongation"
"2,3-Dehydroacyl-CoA","C00605","hsa00062","Fatty acid elongation"
"Long-chain fatty acid","C00638","hsa00062","Fatty acid elongation"
"(3S)-3-Hydroxyacyl-CoA","C00640","hsa00062","Fatty acid elongation"
"trans-2,3-Dehydroacyl-CoA","C00658","hsa00062","Fatty acid elongation"
"Lauroyl-CoA","C01832","hsa00062","Fatty acid elongation"
"Octanoyl-CoA","C01944","hsa00062","Fatty acid elongation"
"Tetradecanoyl-CoA","C02593","hsa00062","Fatty acid elongation"
"Long-chain acyl-CoA","C02843","hsa00062","Fatty acid elongation"
"2-trans-Dodecenoyl-CoA","C03221","hsa00062","Fatty acid elongation"
"(S)-3-Hydroxyhexadecanoyl-CoA","C05258","hsa00062","Fatty acid elongation"
"3-Oxopalmitoyl-CoA","C05259","hsa00062","Fatty acid elongation"
"(S)-3-Hydroxytetradecanoyl-CoA","C05260","hsa00062","Fatty acid elongation"
"3-Oxotetradecanoyl-CoA","C05261","hsa00062","Fatty acid elongation"
"(S)-3-Hydroxydodecanoyl-CoA","C05262","hsa00062","Fatty acid elongation"
"3-Oxododecanoyl-CoA","C05263","hsa00062","Fatty acid elongation"
"(S)-Hydroxydecanoyl-CoA","C05264","hsa00062","Fatty acid elongation"
"3-Oxodecanoyl-CoA","C05265","hsa00062","Fatty acid elongation"
"(S)-3-Hydroxyoctanoyl-CoA","C05266","hsa00062","Fatty acid elongation"
"3-Oxooctanoyl-CoA","C05267","hsa00062","Fatty acid elongation"
"(S)-Hydroxyhexanoyl-CoA","C05268","hsa00062","Fatty acid elongation"
"3-Oxohexanoyl-CoA","C05269","hsa00062","Fatty acid elongation"
"Hexanoyl-CoA","C05270","hsa00062","Fatty acid elongation"
"trans-Hex-2-enoyl-CoA","C05271","hsa00062","Fatty acid elongation"
"trans-Hexadec-2-enoyl-CoA","C05272","hsa00062","Fatty acid elongation"
"trans-Tetradec-2-enoyl-CoA","C05273","hsa00062","Fatty acid elongation"
"Decanoyl-CoA","C05274","hsa00062","Fatty acid elongation"
"trans-Dec-2-enoyl-CoA","C05275","hsa00062","Fatty acid elongation"
"trans-Oct-2-enoyl-CoA","C05276","hsa00062","Fatty acid elongation"
"Very-long-chain acyl-CoA","C20876","hsa00062","Fatty acid elongation"
"Very-long-chain 3-oxoacyl-CoA","C20877","hsa00062","Fatty acid elongation"
"Very-long-chain (3R)-3-hydroxyacyl-CoA","C20878","hsa00062","Fatty acid elongation"
"Very-long-chain trans-2,3-dehydroacyl-CoA","C20879","hsa00062","Fatty acid elongation"
"CoA","C00010","hsa00071","Fatty acid degradation"
"Acetyl-CoA","C00024","hsa00071","Fatty acid degradation"
"Aldehyde","C00071","hsa00071","Fatty acid degradation"
"Butanoyl-CoA","C00136","hsa00071","Fatty acid degradation"
"Palmitoyl-CoA","C00154","hsa00071","Fatty acid degradation"
"Fatty acid","C00162","hsa00071","Fatty acid degradation"
"Primary alcohol","C00226","hsa00071","Fatty acid degradation"
"Acyl-carrier protein","C00229","hsa00071","Fatty acid degradation"
"Hexadecanoic acid","C00249","hsa00071","Fatty acid degradation"
"Acetoacetyl-CoA","C00332","hsa00071","Fatty acid degradation"
"Reduced rubredoxin","C00340","hsa00071","Fatty acid degradation"
"Oxidized rubredoxin","C00435","hsa00071","Fatty acid degradation"
"Glutarate","C00489","hsa00071","Fatty acid degradation"
"Hexadecanal","C00517","hsa00071","Fatty acid degradation"
"Glutaryl-CoA","C00527","hsa00071","Fatty acid degradation"
"Long-chain fatty acid","C00638","hsa00071","Fatty acid degradation"
"1-Hexadecanol","C00823","hsa00071","Fatty acid degradation"
"Crotonoyl-CoA","C00877","hsa00071","Fatty acid degradation"
"(S)-3-Hydroxybutanoyl-CoA","C01144","hsa00071","Fatty acid degradation"
"Alkane","C01371","hsa00071","Fatty acid degradation"
"Lauroyl-CoA","C01832","hsa00071","Fatty acid degradation"
"Octanoyl-CoA","C01944","hsa00071","Fatty acid degradation"
"Tetradecanoyl-CoA","C02593","hsa00071","Fatty acid degradation"
"L-Palmitoylcarnitine","C02990","hsa00071","Fatty acid degradation"
"2-trans-Dodecenoyl-CoA","C03221","hsa00071","Fatty acid degradation"
"omega-Hydroxy fatty acid","C03547","hsa00071","Fatty acid degradation"
"(R)-3-Hydroxybutanoyl-CoA","C03561","hsa00071","Fatty acid degradation"
"alpha-Hydroxy fatty acid","C05102","hsa00071","Fatty acid degradation"
"(S)-3-Hydroxyhexadecanoyl-CoA","C05258","hsa00071","Fatty acid degradation"
"3-Oxopalmitoyl-CoA","C05259","hsa00071","Fatty acid degradation"
"(S)-3-Hydroxytetradecanoyl-CoA","C05260","hsa00071","Fatty acid degradation"
"3-Oxotetradecanoyl-CoA","C05261","hsa00071","Fatty acid degradation"
"(S)-3-Hydroxydodecanoyl-CoA","C05262","hsa00071","Fatty acid degradation"
"3-Oxododecanoyl-CoA","C05263","hsa00071","Fatty acid degradation"
"(S)-Hydroxydecanoyl-CoA","C05264","hsa00071","Fatty acid degradation"
"3-Oxodecanoyl-CoA","C05265","hsa00071","Fatty acid degradation"
"(S)-3-Hydroxyoctanoyl-CoA","C05266","hsa00071","Fatty acid degradation"
"3-Oxooctanoyl-CoA","C05267","hsa00071","Fatty acid degradation"
"(S)-Hydroxyhexanoyl-CoA","C05268","hsa00071","Fatty acid degradation"
"3-Oxohexanoyl-CoA","C05269","hsa00071","Fatty acid degradation"
"Hexanoyl-CoA","C05270","hsa00071","Fatty acid degradation"
"trans-Hex-2-enoyl-CoA","C05271","hsa00071","Fatty acid degradation"
"trans-Hexadec-2-enoyl-CoA","C05272","hsa00071","Fatty acid degradation"
"trans-Tetradec-2-enoyl-CoA","C05273","hsa00071","Fatty acid degradation"
"Decanoyl-CoA","C05274","hsa00071","Fatty acid degradation"
"trans-Dec-2-enoyl-CoA","C05275","hsa00071","Fatty acid degradation"
"trans-Oct-2-enoyl-CoA","C05276","hsa00071","Fatty acid degradation"
"trans,cis-Lauro-2,6-dienoyl-CoA","C05279","hsa00071","Fatty acid degradation"
"cis,cis-3,6-Dodecadienoyl-CoA","C05280","hsa00071","Fatty acid degradation"
"Long-chain acyl-[acyl-carrier protein]","C20683","hsa00071","Fatty acid degradation"
"Cholesterol","C00187","hsa00100","Steroid biosynthesis"
"trans,trans-Farnesyl diphosphate","C00448","hsa00100","Steroid biosynthesis"
"Squalene","C00751","hsa00100","Steroid biosynthesis"
"(S)-2,3-Epoxysqualene","C01054","hsa00100","Steroid biosynthesis"
"7-Dehydrocholesterol","C01164","hsa00100","Steroid biosynthesis"
"Lathosterol","C01189","hsa00100","Steroid biosynthesis"
"Calcidiol","C01561","hsa00100","Steroid biosynthesis"
"Calcitriol","C01673","hsa00100","Steroid biosynthesis"
"Ergosterol","C01694","hsa00100","Steroid biosynthesis"
"Lanosterol","C01724","hsa00100","Steroid biosynthesis"
"beta-Sitosterol","C01753","hsa00100","Steroid biosynthesis"
"Campesterol","C01789","hsa00100","Steroid biosynthesis"
"Desmosterol","C01802","hsa00100","Steroid biosynthesis"
"Cycloartenol","C01902","hsa00100","Steroid biosynthesis"
"Obtusifoliol","C01943","hsa00100","Steroid biosynthesis"
"Cycloeucalenol","C02141","hsa00100","Steroid biosynthesis"
"Cholesterol ester","C02530","hsa00100","Steroid biosynthesis"
"Presqualene diphosphate","C03428","hsa00100","Steroid biosynthesis"
"5alpha-Cholest-8-en-3beta-ol","C03845","hsa00100","Steroid biosynthesis"
"Fecosterol","C04525","hsa00100","Steroid biosynthesis"
"4alpha-Methylzymosterol","C05103","hsa00100","Steroid biosynthesis"
"7-Dehydrodesmosterol","C05107","hsa00100","Steroid biosynthesis"
"14-Demethyllanosterol","C05108","hsa00100","Steroid biosynthesis"
"24,25-Dihydrolanosterol","C05109","hsa00100","Steroid biosynthesis"
"Zymosterol","C05437","hsa00100","Steroid biosynthesis"
"5alpha-Cholesta-7,24-dien-3beta-ol","C05439","hsa00100","Steroid biosynthesis"
"Ergosta-5,7,22,24(28)-tetraen-3beta-ol","C05440","hsa00100","Steroid biosynthesis"
"Vitamin D2","C05441","hsa00100","Steroid biosynthesis"
"Stigmasterol","C05442","hsa00100","Steroid biosynthesis"
"Vitamin D3","C05443","hsa00100","Steroid biosynthesis"
"Secalciferol","C07712","hsa00100","Steroid biosynthesis"
"Brassicasterol","C08813","hsa00100","Steroid biosynthesis"
"Isofucosterol","C08821","hsa00100","Steroid biosynthesis"
"24-Methylidenecycloartanol","C08830","hsa00100","Steroid biosynthesis"
"4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol","C11455","hsa00100","Steroid biosynthesis"
"4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol","C11508","hsa00100","Steroid biosynthesis"
"24-Methylenelophenol","C11522","hsa00100","Steroid biosynthesis"
"24-Ethylidenelophenol","C11523","hsa00100","Steroid biosynthesis"
"4alpha-Methylfecosterol","C15776","hsa00100","Steroid biosynthesis"
"Episterol","C15777","hsa00100","Steroid biosynthesis"
"5,7,24(28)-Ergostatrienol","C15778","hsa00100","Steroid biosynthesis"
"5-Dehydroepisterol","C15780","hsa00100","Steroid biosynthesis"
"24-Methylenecholesterol","C15781","hsa00100","Steroid biosynthesis"
"Delta7-Avenasterol","C15782","hsa00100","Steroid biosynthesis"
"5-Dehydroavenasterol","C15783","hsa00100","Steroid biosynthesis"
"4alpha-Methylzymosterol-4-carboxylate","C15808","hsa00100","Steroid biosynthesis"
"3-Keto-4-methylzymosterol","C15816","hsa00100","Steroid biosynthesis"
"4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol","C15915","hsa00100","Steroid biosynthesis"
"Calcitetrol","C18231","hsa00100","Steroid biosynthesis"
"24-epi-Campesterol","C21106","hsa00100","Steroid biosynthesis"
"4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol","C22112","hsa00100","Steroid biosynthesis"
"3beta-Hydroxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(24(1))-en-4alpha-carboxylate","C22116","hsa00100","Steroid biosynthesis"
"3beta-Hydroxyergosta-7,24(24(1))-dien-4alpha-carboxylate","C22119","hsa00100","Steroid biosynthesis"
"4alpha-Carboxy-stigmasta-7,24(24(1))-dien-3beta-ol","C22120","hsa00100","Steroid biosynthesis"
"Cycloeucalenone","C22121","hsa00100","Steroid biosynthesis"
"Episterone","C22122","hsa00100","Steroid biosynthesis"
"Avenastenone","C22123","hsa00100","Steroid biosynthesis"
"Zymosterone","C22136","hsa00100","Steroid biosynthesis"
"Glycine","C00037","hsa00120","Primary bile acid biosynthesis"
"Cholesterol","C00187","hsa00120","Primary bile acid biosynthesis"
"Taurine","C00245","hsa00120","Primary bile acid biosynthesis"
"Cholic acid","C00695","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al","C01301","hsa00120","Primary bile acid biosynthesis"
"Choloyl-CoA","C01794","hsa00120","Primary bile acid biosynthesis"
"Glycocholate","C01921","hsa00120","Primary bile acid biosynthesis"
"Chenodeoxycholate","C02528","hsa00120","Primary bile acid biosynthesis"
"7alpha-Hydroxycholesterol","C03594","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha-Dihydroxy-5beta-cholestanate","C04554","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate","C04722","hsa00120","Primary bile acid biosynthesis"
"Taurocholate","C05122","hsa00120","Primary bile acid biosynthesis"
"Chenodeoxycholoyl-CoA","C05337","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha,26-Trihydroxy-5beta-cholestane","C05444","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al","C05445","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane","C05446","hsa00120","Primary bile acid biosynthesis"
"(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA","C05447","hsa00120","Primary bile acid biosynthesis"
"(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA","C05448","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA","C05449","hsa00120","Primary bile acid biosynthesis"
"7alpha-Hydroxy-5beta-cholestan-3-one","C05451","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha-Dihydroxy-5beta-cholestane","C05452","hsa00120","Primary bile acid biosynthesis"
"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one","C05453","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane","C05454","hsa00120","Primary bile acid biosynthesis"
"7alpha-Hydroxycholest-4-en-3-one","C05455","hsa00120","Primary bile acid biosynthesis"
"(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA","C05460","hsa00120","Primary bile acid biosynthesis"
"Taurochenodeoxycholate","C05465","hsa00120","Primary bile acid biosynthesis"
"Glycochenodeoxycholate","C05466","hsa00120","Primary bile acid biosynthesis"
"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA","C05467","hsa00120","Primary bile acid biosynthesis"
"5beta-Cyprinolsulfate","C05468","hsa00120","Primary bile acid biosynthesis"
"7alpha,27-Dihydroxycholesterol","C06341","hsa00120","Primary bile acid biosynthesis"
"Cerebrosterol","C13550","hsa00120","Primary bile acid biosynthesis"
"(24S)-Cholest-5-ene-3beta,7alpha,24-triol","C15518","hsa00120","Primary bile acid biosynthesis"
"25-Hydroxycholesterol","C15519","hsa00120","Primary bile acid biosynthesis"
"Cholest-5-ene-3beta,7alpha,25-triol","C15520","hsa00120","Primary bile acid biosynthesis"
"Cholest-5-ene-3beta,26-diol","C15610","hsa00120","Primary bile acid biosynthesis"
"(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA","C15613","hsa00120","Primary bile acid biosynthesis"
"(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA","C15614","hsa00120","Primary bile acid biosynthesis"
"7alpha,24-Dihydroxy-4-cholesten-3-one","C17331","hsa00120","Primary bile acid biosynthesis"
"7alpha,25-Dihydroxy-4-cholesten-3-one","C17332","hsa00120","Primary bile acid biosynthesis"
"3beta-Hydroxy-5-cholestenoate","C17333","hsa00120","Primary bile acid biosynthesis"
"3beta,7alpha-Dihydroxy-5-cholestenoate","C17335","hsa00120","Primary bile acid biosynthesis"
"7alpha,26-Dihydroxy-4-cholesten-3-one","C17336","hsa00120","Primary bile acid biosynthesis"
"7alpha-Hydroxy-3-oxo-4-cholestenoate","C17337","hsa00120","Primary bile acid biosynthesis"
"4-Cholesten-7alpha,12alpha-diol-3-one","C17339","hsa00120","Primary bile acid biosynthesis"
"(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA","C17343","hsa00120","Primary bile acid biosynthesis"
"(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA","C17345","hsa00120","Primary bile acid biosynthesis"
"(25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA","C17346","hsa00120","Primary bile acid biosynthesis"
"L-Tyrosine","C00082","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"4-Hydroxybenzoate","C00156","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"p-Coumaroyl-CoA","C00223","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Chorismate","C00251","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Geranyl diphosphate","C00341","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Geranylgeranyl diphosphate","C00353","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Ubiquinol","C00390","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"trans-Cinnamate","C00423","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Homogentisate","C00544","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"4-Coumarate","C00811","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Menaquinone","C00828","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Isochorismate","C00885","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"3-(4-Hydroxyphenyl)pyruvate","C01179","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Phylloquinone","C02059","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"alpha-Tocopherol","C02477","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"gamma-Tocopherol","C02483","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"2-Succinylbenzoate","C02730","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"4-Hydroxybenzoyl-CoA","C02949","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"2-Succinylbenzoyl-CoA","C03160","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Phylloquinol","C03313","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"1,4-Dihydroxy-2-naphthoate","C03657","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"(R)-3-(4-Hydroxyphenyl)lactate","C03964","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"4-(beta-D-Glucosyloxy)benzoate","C03993","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"all-trans-Nonaprenyl diphosphate","C04145","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Phytyl diphosphate","C05427","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"2-Polyprenylphenol","C05807","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","C05817","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Menaquinol","C05819","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"all-trans-Polyprenyl diphosphate","C05847","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"4-Hydroxy-3-polyprenylbenzoate","C05848","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Vitamin K1 epoxide","C05849","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"Spirodilactone","C06986","hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis"
